Afghanistan,0
Albania,1
Algeria,2
Angola,3
Antigua and Barbuda,4
Argentina,5
Armenia,6
Australia,7
Austria,8
Azerbaijan,9
Bahamas,10
Bahrain,11
Bangladesh,12
Barbados,13
Belarus,14
Belgium,15
Belize,16
Benin,17
Bhutan,18
Bolivia,19
Bosnia and Herzegovina,20
Botswana,21
Brazil,22
Brunei,23
Bulgaria,24
Burkina Faso,25
Burundi,26
Cambodia,27
Cameroon,28
Canada,29
Cape Verde,30
Chad,31
Chile,32
China,33
Colombia,34
Comoros,35
"Congo, Dem. Rep.",36
"Congo, Rep.",37
Costa Rica,38
Cote d'Ivoire,39
Croatia,40
Cuba,41
Cyprus,42
Czech Republic,43
Denmark,44
Dominica,45
Dominican Republic,46
Ecuador,47
Egypt,48
El Salvador,49
Equatorial Guinea,50
Estonia,51
Eswatini,52
Ethiopia,53
Fiji,54
Finland,55
France,56
Gabon,57
Gambia,58
Georgia,59
Germany,60
Ghana,61
Greece,62
Grenada,63
Guatemala,64
Guinea,65
Guyana,66
Haiti,67
Honduras,68
Hungary,69
Iceland,70
India,71
Indonesia,72
Iran,73
Iraq,74
Ireland,75
Israel,76
Italy,77
Jamaica,78
Japan,79
Jordan,80
Kazakhstan,81
Kenya,82
Kiribati,83
Kuwait,84
Kyrgyz Republic,85
Lao,86
Latvia,87
Lebanon,88
Lesotho,89
Liberia,90
Libya,91
Liechtenstein,92
Lithuania,93
Luxembourg,94
Madagascar,95
Malawi,96
Malaysia,97
Maldives,98
Mali,99
Malta,100
Marshall Islands,101
Mauritania,102
Mauritius,103
Mexico,104
Moldova,105
Monaco,106
Mongolia,107
Montenegro,108
Morocco,109
Mozambique,110
Myanmar,111
Namibia,112
Nauru,113
Nepal,114
Netherlands,115
New Zealand,116
Nicaragua,117
Niger,118
Nigeria,119
North Macedonia,120
Norway,121
Oman,122
Pakistan,123
Palau,124
Palestine,125
Panama,126
Papua New Guinea,127
Paraguay,128
Peru,129
Philippines,130
Poland,131
Portugal,132
Qatar,133
Romania,134
Russia,135
Rwanda,136
Samoa,137
San Marino,138
Sao Tome and Principe,139
Saudi Arabia,140
Senegal,141
Serbia,142
Seychelles,143
Sierra Leone,144
Singapore,145
Slovak Republic,146
Slovenia,147
Solomon Islands,148
South Africa,149
South Korea,150
South Sudan,151
Spain,152
Sri Lanka,153
St. Kitts and Nevis,154
St. Lucia,155
St. Vincent and the Grenadines,156
Sudan,157
Suriname,158
Sweden,159
Switzerland,160
Syria,161
Tajikistan,162
Tanzania,163
Thailand,164
Timor-Leste,165
Togo,166
Tonga,167
Trinidad and Tobago,168
Tunisia,169
Turkey,170
Turkmenistan,171
Tuvalu,172
Uganda,173
Ukraine,174
United Arab Emirates,175
United Kingdom,176
United States,177
Uruguay,178
Uzbekistan,179
Vanuatu,180
Venezuela,181
Vietnam,182
Yemen,183
Zambia,184
Zimbabwe,185
Central African Republic,186
Djibouti,187
Eritrea,188
Guinea-Bissau,189
"Micronesia, Fed. Sts.",190
North Korea,191
Somalia,192
Andorra,193
Holy See,194
